Country Name,Region,Year,Index
Malaysia,Southeast Asia,2000,10.69933267
Maldives,South Asia,2000,1.416179855
Mongolia,East Asia,2000,1.520775828
Nepal,South Asia,2000,3.026229406
Oman,West Asia,2000,1.872713645
Philippines,Southeast Asia,2000,6.28053491
Qatar,West Asia,2000,1.606785486
Russian Federation,North Asia,2000,8.491567959
Saudi Arabia,West Asia,2000,4.303785388
Singapore,Southeast Asia,2000,12.00054908
Sri Lanka,South Asia,2000,4.131424924
Tajikistan,Central Asia,2000,1.445073189
Thailand,Southeast Asia,2000,13.58605058
Turkey,West Asia,2000,12.08802523
Turkmenistan,Central Asia,2000,1.589785054
United Arab Emirates,West Asia,2000,9.279269176
Vietnam,Southeast Asia,2000,5.57195624
Armenia,West Asia,2001,1.532808848
Azerbaijan,West Asia,2001,1.556323656
Bahrain,West Asia,2001,1.968321921
Bangladesh,South Asia,2001,4.001748728
Brunei,Southeast Asia,2001,1.507601226
Cambodia,Southeast Asia,2001,2.486717067
China,East Asia,2001,33.60816464
Cyprus,West Asia,2001,2.855261029
Georgia,West Asia,2001,1.771246657
"Hong Kong, China",East Asia,2001,16.0212962
India,South Asia,2001,17.65173438
Indonesia,Southeast Asia,2001,11.35913713
"Iran, Islamic Rep.",West Asia,2001,3.692746707
Israel,West Asia,2001,8.042745871
Japan,East Asia,2001,25.96992607
Jordan,West Asia,2001,2.27292555
Kazakhstan,Central Asia,2001,1.835672134
"Korea, Rep.",East Asia,2001,18.75658238
Kuwait,West Asia,2001,1.960075874
Kyrgyz Republic,Central Asia,2001,1.466091311
Lebanon,West Asia,2001,3.056852634
Malaysia,Southeast Asia,2001,11.090395
Maldives,South Asia,2001,1.37262124
Mongolia,East Asia,2001,1.580404122
Myanmar,Southeast Asia,2001,2.753390496
Oman,West Asia,2001,1.975607735
Philippines,Southeast Asia,2001,6.382133618
Qatar,West Asia,2001,1.683806432
Russian Federation,North Asia,2001,8.664919871
Saudi Arabia,West Asia,2001,4.295134767
Singapore,Southeast Asia,2001,12.51027319
Sri Lanka,South Asia,2001,4.276487278
Syrian Arab Republic,West Asia,2001,3.305444514
Thailand,Southeast Asia,2001,14.50672537
Turkey,West Asia,2001,12.96103083
United Arab Emirates,West Asia,2001,9.752716648
Vietnam,Southeast Asia,2001,5.844694839
Armenia,West Asia,2002,1.551090901
Azerbaijan,West Asia,2002,1.533458661
Bahrain,West Asia,2002,1.983312031
Bangladesh,South Asia,2002,3.894457577
Brunei,Southeast Asia,2002,1.510082404
Cambodia,Southeast Asia,2002,2.560054636
China,East Asia,2002,35.76720049
Cyprus,West Asia,2002,2.739892088
Georgia,West Asia,2002,1.749621313
"Hong Kong, China",East Asia,2002,15.96080719
India,South Asia,2002,18.69477385
Indonesia,Southeast Asia,2002,11.63712254
"Iran, Islamic Rep.",West Asia,2002,3.72200973
Israel,West Asia,2002,8.191711219
Japan,East Asia,2002,25.63277171
Jordan,West Asia,2002,2.325673273
Kazakhstan,Central Asia,2002,1.893263642
"Korea, Rep.",East Asia,2002,18.831566
Kuwait,West Asia,2002,1.958940446
Kyrgyz Republic,Central Asia,2002,1.470853884
Lebanon,West Asia,2002,3.191256132
Malaysia,Southeast Asia,2002,11.36592302
Maldives,South Asia,2002,1.38612888
Oman,West Asia,2002,1.972576546
Philippines,Southeast Asia,2002,6.627583753
Qatar,West Asia,2002,1.664014111
Russian Federation,North Asia,2002,8.542702728
Saudi Arabia,West Asia,2002,4.357321216
Singapore,Southeast Asia,2002,12.46622005
Sri Lanka,South Asia,2002,4.206246319
Syrian Arab Republic,West Asia,2002,3.411403701
Thailand,Southeast Asia,2002,14.96866693
Turkey,West Asia,2002,14.0053694
United Arab Emirates,West Asia,2002,10.18029548
Vietnam,Southeast Asia,2002,6.258037578
Armenia,West Asia,2003,1.556359402
Azerbaijan,West Asia,2003,1.50311905
Bahrain,West Asia,2003,1.974830246
Bangladesh,South Asia,2003,4.247224112
Brunei,Southeast Asia,2003,1.489078351
Cambodia,Southeast Asia,2003,2.698835628
China,East Asia,2003,39.09623459
Cyprus,West Asia,2003,2.687467504
Georgia,West Asia,2003,1.76475143
"Hong Kong, China",East Asia,2003,16.78224688
India,South Asia,2003,19.97661474
Indonesia,Southeast Asia,2003,12.11279096
"Iran, Islamic Rep.",West Asia,2003,3.65867981
Israel,West Asia,2003,8.258953177
Japan,East Asia,2003,25.90551818
Jordan,West Asia,2003,2.44730279
Kazakhstan,Central Asia,2003,1.853374701
"Korea, Rep.",East Asia,2003,19.3400389
Kuwait,West Asia,2003,1.979817082
Kyrgyz Republic,Central Asia,2003,1.498748013
Lebanon,West Asia,2003,3.406335829
Malaysia,Southeast Asia,2003,11.91169374
Maldives,South Asia,2003,1.384796943
Mongolia,East Asia,2003,1.668666507
Nepal,South Asia,2003,2.902338741
Oman,West Asia,2003,1.979646425
Pakistan,South Asia,2003,6.273997894
Philippines,Southeast Asia,2003,6.872936425
Qatar,West Asia,2003,1.78210697
Russian Federation,North Asia,2003,8.807258369
Saudi Arabia,West Asia,2003,4.644175964
Singapore,Southeast Asia,2003,12.96038592
