country,Indicator Name,region,year,ExportValueIndex
India,Export value index (2000 = 100),South Asia,2005,37.1768969329
Indonesia,Export value index (2000 = 100),Southeast Asia,2005,57.8560959704
"Iran, Islamic Rep.",Export value index (2000 = 100),,2005,80.0455354007
Iraq,Export value index (2000 = 100),West Asia,2005,41.1569877398
Israel,Export value index (2000 = 100),West Asia,2005,66.762569496
Japan,Export value index (2000 = 100),East Asia,2005,95.2025175511
Jordan,Export value index (2000 = 100),West Asia,2005,54.9185968537
Kazakhstan,Export value index (2000 = 100),Central Asia,2005,60.5996118477
"Korea, Rep.",Export value index (2000 = 100),East Asia,2005,53.9943974455
Kuwait,Export value index (2000 = 100),West Asia,2005,82.9021818364
Kyrgyz Republic,Export value index (2000 = 100),Central Asia,2005,46.6213403399
Lao PDR,Export value index (2000 = 100),,2005,15.1391685
Lebanon,Export value index (2000 = 100),West Asia,2005,58.6961616058
Malaysia,Export value index (2000 = 100),Southeast Asia,2005,70.8299236877
Maldives,Export value index (2000 = 100),South Asia,2005,67.4149518364
Mongolia,Export value index (2000 = 100),East Asia,2005,22.8085580306
Myanmar,Export value index (2000 = 100),Southeast Asia,2005,33.0432766369
Nepal,Export value index (2000 = 100),South Asia,2005,119.7837009611
Oman,Export value index (2000 = 100),West Asia,2005,58.5463192991
Pakistan,Export value index (2000 = 100),South Asia,2005,72.6646668967
Philippines,Export value index (2000 = 100),Southeast Asia,2005,70.1285429309
Qatar,Export value index (2000 = 100),West Asia,2005,33.0404558517
Russian Federation,Export value index (2000 = 100),,2005,71.4072737691
Saudi Arabia,Export value index (2000 = 100),West Asia,2005,88.7795955767
Singapore,Export value index (2000 = 100),Southeast Asia,2005,65.3178381264
Sri Lanka,Export value index (2000 = 100),South Asia,2005,60.1791115406
Syrian Arab Republic,Export value index (2000 = 100),,2005,982.2234253632
Tajikistan,Export value index (2000 = 100),Central Asia,2005,102.0660228666
Thailand,Export value index (2000 = 100),Southeast Asia,2005,51.7645617072
Turkey,Export value index (2000 = 100),West Asia,2005,48.6653671427
Turkmenistan,Export value index (2000 = 100),Central Asia,2005,49.4400000054
United Arab Emirates,Export value index (2000 = 100),West Asia,2005,39.0336662934
Uzbekistan,Export value index (2000 = 100),Central Asia,2005,50.2899535155
Vietnam,Export value index (2000 = 100),Southeast Asia,2005,20.017936742
Yemen,Export value index (2000 = 100),West Asia,2005,1099.8485851116
Afghanistan,Export value index (2000 = 100),South Asia,2006,72.803003128
Armenia,Export value index (2000 = 100),,2006,66.3218778553
Azerbaijan,Export value index (2000 = 100),,2006,78.4377874117
Bahrain,Export value index (2000 = 100),West Asia,2006,73.7586827801
Bangladesh,Export value index (2000 = 100),South Asia,2006,36.4506295801
Bhutan,Export value index (2000 = 100),South Asia,2006,75.4482349213
Brunei,Export value index (2000 = 100),,2006,120.2031998921
Cambodia,Export value index (2000 = 100),Southeast Asia,2006,43.2239804335
China,Export value index (2000 = 100),East Asia,2006,42.6211409199
Cyprus,Export value index (2000 = 100),,2006,40.4555037781
Georgia,Export value index (2000 = 100),,2006,42.4721894542
"Hong Kong, China",Export value index (2000 = 100),,2006,63.2081713491
India,Export value index (2000 = 100),South Asia,2006,45.4588851997
Indonesia,Export value index (2000 = 100),Southeast Asia,2006,68.8498740169
"Iran, Islamic Rep.",Export value index (2000 = 100),,2006,109.586623978
Iraq,Export value index (2000 = 100),West Asia,2006,50.9940236502
Israel,Export value index (2000 = 100),West Asia,2006,73.0360382388
Japan,Export value index (2000 = 100),East Asia,2006,103.4890310666
Jordan,Export value index (2000 = 100),West Asia,2006,66.4414983166
Kazakhstan,Export value index (2000 = 100),Central Asia,2006,83.2322579944
"Korea, Rep.",Export value index (2000 = 100),East Asia,2006,61.7866125947
Kuwait,Export value index (2000 = 100),West Asia,2006,103.4992680263
Kyrgyz Republic,Export value index (2000 = 100),Central Asia,2006,61.8218398814
Lao PDR,Export value index (2000 = 100),,2006,24.1433441722
Lebanon,Export value index (2000 = 100),West Asia,2006,70.6765077984
Malaysia,Export value index (2000 = 100),Southeast Asia,2006,80.3938542287
Maldives,Export value index (2000 = 100),South Asia,2006,93.9470739563
Mongolia,Export value index (2000 = 100),East Asia,2006,33.0413552358
Myanmar,Export value index (2000 = 100),Southeast Asia,2006,39.7165056792
Nepal,Export value index (2000 = 100),South Asia,2006,116.2611406584
Oman,Export value index (2000 = 100),West Asia,2006,67.6090056235
Pakistan,Export value index (2000 = 100),South Asia,2006,76.6444506167
Philippines,Export value index (2000 = 100),Southeast Asia,2006,80.5921220759
Qatar,Export value index (2000 = 100),West Asia,2006,43.6713206448
Russian Federation,Export value index (2000 = 100),,2006,88.9086430522
Saudi Arabia,Export value index (2000 = 100),West Asia,2006,103.8097982047
Singapore,Export value index (2000 = 100),Southeast Asia,2006,77.3086128317
Sri Lanka,Export value index (2000 = 100),South Asia,2006,65.2873465241
Syrian Arab Republic,Export value index (2000 = 100),,2006,1231.6561765057
Tajikistan,Export value index (2000 = 100),Central Asia,2006,157.0851111517
Thailand,Export value index (2000 = 100),Southeast Asia,2006,60.5300537396
Turkey,Export value index (2000 = 100),West Asia,2006,56.6524059391
Turkmenistan,Export value index (2000 = 100),Central Asia,2006,71.5599999983
United Arab Emirates,Export value index (2000 = 100),West Asia,2006,48.4520396394
Uzbekistan,Export value index (2000 = 100),Central Asia,2006,59.4817159027
Vietnam,Export value index (2000 = 100),Southeast Asia,2006,24.5742664524
Yemen,Export value index (2000 = 100),West Asia,2006,1305.0857296464
Afghanistan,Export value index (2000 = 100),South Asia,2007,79.453277447
Armenia,Export value index (2000 = 100),,2007,77.5786213081
Azerbaijan,Export value index (2000 = 100),,2007,128.1878762685
Bahrain,Export value index (2000 = 100),West Asia,2007,82.4283508997
Bangladesh,Export value index (2000 = 100),South Asia,2007,38.4610870653
Bhutan,Export value index (2000 = 100),South Asia,2007,122.8296616246
Brunei,Export value index (2000 = 100),,2007,120.7048636089
Cambodia,Export value index (2000 = 100),Southeast Asia,2007,47.860832168
